GeForce GTX 1050 Ti,6341
GeForce GTX 1060,10075
GeForce GTX 1060 3GB,9808
GeForce GTX 1060 5GB,9100
GeForce GTX 1070,13503
GeForce GTX 1070 Ti,14684
GeForce GTX 1080,15589
GeForce GTX 1080 Ti,18598
GeForce GTX 1650,7875
GeForce GTX 1650 SUPER,10184
GeForce GTX 1650 Ti,7520
GeForce GTX 1660,11640
GeForce GTX 1660 SUPER,12697
GeForce GTX 1660 Ti,12826
GeForce GTX 780,7953
GeForce GTX 780 Ti,9480
GeForce GTX 960,6121
GeForce GTX 970,9634
GeForce GTX 970XM FORCE,6706
GeForce GTX 980,11081
GeForce GTX 980 Ti,13712
GeForce RTX 2050,7749
GeForce RTX 2060,14118
GeForce RTX 2060 12GB,15930
GeForce RTX 2060 SUPER,16465
GeForce RTX 2070,16099
GeForce RTX 2070 SUPER,18166
GeForce RTX 2080,18709
GeForce RTX 2080 SUPER,19476
GeForce RTX 2080 Ti,21528
GeForce RTX 3050 6GB,10719
GeForce RTX 3050 8GB,12551
GeForce RTX 3050 OEM,11882
GeForce RTX 3060,16953
GeForce RTX 3060 12GB,16798
GeForce RTX 3060 8GB,15215
GeForce RTX 3060 Ti,20327
GeForce RTX 3070,22197
GeForce RTX 3070 Ti,23332
GeForce RTX 3080,25084
GeForce RTX 3080 12GB,26550
GeForce RTX 3080 Ti,26882
GeForce RTX 3090,26633
GeForce RTX 3090 Ti,29446
GeForce RTX 4060,19546
GeForce RTX 4060 Ti,22685
GeForce RTX 4060 Ti 16GB,22755
GeForce RTX 4070,26923
GeForce RTX 4070 SUPER,29979
GeForce RTX 4070 Ti,31605
GeForce RTX 4070 Ti SUPER,31794
GeForce RTX 4080,34463
GeForce RTX 4080 SUPER,34267
GeForce RTX 4090,38182
GeForce RTX 4090 D,32259
GeForce RTX 5050,17561
GeForce RTX 5060,20677
GeForce RTX 5060 Ti 16GB,22842
GeForce RTX 5060 Ti 8GB,22695
GeForce RTX 5070,29030
GeForce RTX 5070 Ti,32920
GeForce RTX 5080,36382
GeForce RTX 5090,39393
GeForce RTX 5090 D,42305
Radeon 8050S,16019
Radeon 8060S,17612
Radeon R9 280X,6105
Radeon R9 290,8189
Radeon R9 290X,8442
Radeon R9 380,6030
Radeon R9 380X,6144
Radeon R9 390,8871
Radeon R9 390X,9325
Radeon R9 Fury,9539
Radeon R9 Fury + Fury X,9741
Radeon R9 Fury X,9384
Radeon RX 470/570,7942
Radeon RX 480,8565
Radeon RX 5300,7587
Radeon RX 5500,8808
Radeon RX 5500 XT,9080
Radeon RX 5600,11740
Radeon RX 5600 OEM,12286
Radeon RX 5600 XT,13450
Radeon RX 5700,14302
Radeon RX 5700 XT,16251
Radeon RX 5700 XT 50th Anniversary,16512
Radeon RX 580,8808
Radeon RX 580 2048SP,7652
Radeon RX 580X,7624
Radeon RX 590,9346
Radeon RX 6400,7687
Radeon RX 6500,7523
Radeon RX 6500 XT,9600
Radeon RX 6600,15092
Radeon RX 6600 LE,13490
Radeon RX 6600 XT,16449
Radeon RX 6600S,12678
Radeon RX 6650 XT,17172
Radeon RX 6650M XT,17070
Radeon RX 6700,18921
Radeon RX 6700 XT,19777
Radeon RX 6700S,15062
Radeon RX 6750 GRE 10GB,18519
Radeon RX 6750 GRE 12GB,20333
Radeon RX 6750 XT,20695
Radeon RX 6800,22060
Radeon RX 6800 XT,24973
Radeon RX 6800S,15864
Radeon RX 6850M XT,17165
Radeon RX 6900 XT,26729
Radeon RX 6950 XT,28065
Radeon RX 7600,16622
Radeon RX 7600 XT,17151
Radeon RX 7600M XT,14595
Radeon RX 7600S,15318
Radeon RX 7650 GRE,15824
Radeon RX 7700 XT,22585
Radeon RX 7700S,15635
Radeon RX 780,7657
Radeon RX 7800 XT,24184
Radeon RX 7900 GRE,27078
Radeon RX 7900 XT,29029
Radeon RX 7900 XTX,31263
Radeon RX 9060 XT 16GB,19998
Radeon RX 9060 XT 8GB,19859
Radeon RX 9070,25493
Radeon RX 9070 GRE,22713
Radeon RX 9070 XT,26833
Radeon RX Vega 56,13068
Radeon RX Vega 64,14018
Radeon RX Vega M GH,6557
Radeon RX590 GME,8397
Radeon Vega Frontier Edition,12801
Radeon VII,16324
RadeonT RX 6850M XT,14631
